time_sec,bus_id,stop_idx,onboard,headway_min
24960.000000,3,5,2743,6.633333
24960.000000,4,5,2741,6.666667
25020.000000,0,5,2746,1.033333
25020.000000,1,5,2744,1.000000
25020.000000,2,5,2747,1.000000
25020.000000,3,5,2743,1.000000
25020.000000,4,5,2741,1.000000
25080.000000,0,5,2746,2.033333
25080.000000,1,5,2744,2.000000
25080.000000,2,5,2747,2.000000
25080.000000,3,5,2743,2.000000
25080.000000,4,5,2741,2.000000
25140.000000,0,5,2746,3.033333
25140.000000,1,5,2744,3.000000
25140.000000,2,5,2747,3.000000
25140.000000,3,5,2743,3.000000
25140.000000,4,5,2741,3.000000
25200.000000,0,5,2746,4.033333
25200.000000,1,5,2744,4.000000
25200.000000,2,5,2747,4.000000
25200.000000,3,5,2743,4.000000
25200.000000,4,5,2741,4.000000
25260.000000,0,6,2747,5.033333
25260.000000,1,5,2744,5.000000
25260.000000,2,6,2748,5.000000
25260.000000,3,5,2743,5.000000
25260.000000,4,6,2743,5.000000
25320.000000,0,6,2777,6.033333
25320.000000,1,6,2775,6.000000
25320.000000,2,6,2778,6.000000
25320.000000,3,6,2774,6.000000
25320.000000,4,6,2773,6.000000
25380.000000,0,6,2795,0.366667
25380.000000,1,6,2793,0.366667
25380.000000,2,6,2797,0.366667
25380.000000,3,6,2792,0.366667
25380.000000,4,6,2791,0.366667
25440.000000,0,6,2795,1.366667
25440.000000,1,6,2793,1.366667
25440.000000,2,6,2797,1.366667
25440.000000,3,6,2792,1.366667
25440.000000,4,6,2791,1.366667
25500.000000,0,6,2795,2.366667
25500.000000,1,6,2793,2.366667
25500.000000,2,6,2797,2.366667
25500.000000,3,6,2792,2.366667
25500.000000,4,6,2791,2.366667
25560.000000,0,6,2795,3.366667
25560.000000,1,6,2793,3.366667
25560.000000,2,6,2797,3.366667
25560.000000,3,6,2792,3.366667
25560.000000,4,6,2791,3.366667
25620.000000,0,6,2795,4.366667
25620.000000,1,6,2793,4.366667
25620.000000,2,6,2797,4.366667
25620.000000,3,6,2792,4.366667
25620.000000,4,6,2791,4.366667
25680.000000,0,7,2807,5.366667
25680.000000,1,7,2805,5.366667
25680.000000,2,7,2809,5.366667
25680.000000,3,7,2804,5.366667
25680.000000,4,7,2803,5.366667
25740.000000,0,7,2837,6.366667
25740.000000,1,7,2835,6.366667
25740.000000,2,7,2839,6.366667
25740.000000,3,7,2834,6.366667
25740.000000,4,7,2833,6.366667
25800.000000,0,7,2845,0.700000
25800.000000,1,7,2843,0.700000
25800.000000,2,7,2847,0.700000
25800.000000,3,7,2842,0.733333
25800.000000,4,7,2841,0.700000
25860.000000,0,7,2845,1.700000
25860.000000,1,7,2843,1.700000
25860.000000,2,7,2847,1.700000
25860.000000,3,7,2842,1.733333
25860.000000,4,7,2841,1.700000
25920.000000,0,7,2845,2.700000
25920.000000,1,7,2843,2.700000
25920.000000,2,7,2847,2.700000
25920.000000,3,7,2842,2.733333
25920.000000,4,7,2841,2.700000
25980.000000,0,7,2845,3.700000
25980.000000,1,7,2843,3.700000
25980.000000,2,7,2847,3.700000
25980.000000,3,7,2842,3.733333
25980.000000,4,7,2841,3.700000
26040.000000,0,7,2845,4.700000
26040.000000,1,7,2843,4.700000
26040.000000,2,7,2847,4.700000
26040.000000,3,7,2842,4.733333
26040.000000,4,7,2841,4.700000
26100.000000,0,8,2867,5.700000
26100.000000,1,8,2865,5.700000
26100.000000,2,8,2870,5.700000
26100.000000,3,8,2864,5.733333
26100.000000,4,8,2863,5.700000
26160.000000,0,8,2897,6.700000
26160.000000,1,8,2895,6.700000
26160.000000,2,8,2900,6.700000
26160.000000,3,8,2894,6.733333
26160.000000,4,8,2893,6.700000
26220.000000,0,8,2899,0.900000
26220.000000,1,8,2897,0.900000
26220.000000,2,8,2901,0.933333
26220.000000,3,8,2895,0.933333
26220.000000,4,8,2895,0.933333
26280.000000,0,8,2899,1.900000
26280.000000,1,8,2897,1.900000
26280.000000,2,8,2901,1.933333
26280.000000,3,8,2895,1.933333
26280.000000,4,8,2895,1.933333
26340.000000,0,8,2899,2.900000
26340.000000,1,8,2897,2.900000
